Site,Plot,Row,Column,Species,C_E_or_T,Rep,No_germinated,Survival,Neighbours,Date_mortality,Notes
1,C,2,5,TROR,C,3,7,1,,,Swap
1,C,2,7,TROR,E,2,3,0,0,26/08/2020,
1,C,2,9,TROR,E,3,4,0,0,15/09/2020,
1,C,3,2,PEAI,C,1,1,1,,,
1,C,3,3,TRCY,C,2,8,1,,,
1,C,3,4,HYGL,C,3,2,0,1,15/09/2020,"Swap. From CS notes, no seeds"
1,C,3,5,TROR,C,2,4,1,,,Swap
1,C,3,6,LARO,C,2,1,0,1,26/08/2020,
1,C,3,7,PEAI,E,2,1,1,,,
1,C,3,8,PLDE,E,2,5,1,,,
1,C,4,1,PLDE,E,3,3,0,0,Checklist,
1,C,4,2,PLDE,C,2,11,1,,,
1,C,4,4,TRCY,C,3,8,1,,,Swap
1,C,4,5,TROR,E,1,3,0,0,26/08/2020,Swap
1,C,4,6,TRCY,E,1,8,0,0,26/08/2020,
1,C,4,7,TRCY,C,1,3,1,,,
1,C,4,8,VERO,E,3,1,1,,,Probably not my seed
1,C,4,9,LARO,C,3,3,1,,,
1,C,5,8,ARCA,E,2,1,0,0,Checklist,Swap
1,C,5,9,HYGL,E,3,4,0,0,26/08/2020,
1,C,6,1,ARCA,T,2,1,1,,,
1,C,6,2,VERO,C,3,1,1,,,
1,C,6,8,LARO,C,1,1,1,,,
1,C,6,9,TROR,T,2,2,0,0,15/09/2020,Swap
1,C,8,1,PLDE,E,1,1,0,0,15/09/2020,
1,C,8,2,ARCA,E,1,2,0,0,26/08/2020,
1,C,8,3,LARO,E,2,2,0,0,26/08/2020,
1,C,8,4,PEAI,E,1,5,0,0,Checklist,Swap
1,C,8,6,PLDE,C,3,3,1,,,
1,C,8,8,TRCY,E,2,1,0,,,Swap
1,C,8,9,ARCA,T,1,1,0,0,26/08/2020,
1,C,9,1,LARO,E,3,4,1,,,Swap
1,C,9,2,ARCA,C,1,3,1,,,
1,C,9,3,TROR,C,1,6,NA,NA,NA,"Swap. From community survey notes, dead, gone, roo damage"
1,C,9,4,ARCA,C,2,2,NA,NA,NA,Swap. Kangaroo. Dead
1,C,9,8,VERO,E,1,1,0,0,Checklist,Swap
1,C,9,9,HYGL,C,2,7,0,1,Checklist,
1,C,10,2,PEAI,C,2,3,0,1,Checklist,
1,C,10,3,VERO,C,1,5,1,,,
1,C,10,4,TRCY,E,3,12,1,,,
2,A,1,1,LARO,T,1,5,1,,,
2,A,1,2,TROR,E,2,1,0,0,4/09/2020,
2,A,1,3,ARCA,C,1,9,1,NA,NA,"0 seeds. Alive, but tiny"
2,A,1,4,LARO,T,2,6,0,0,Checklist,
2,A,1,5,VERO,E,3,8,1,,,Swap
2,A,1,7,POLE,C,1,2,1,,,
2,A,1,8,ARCA,C,2,4,0,,,
2,A,1,9,HYGL,C,3,5,1,,,
2,A,2,1,HYGL,E,1,5,1,,,
2,A,2,2,HYGL,E,3,5,0,,,
2,A,2,3,TROR,T,2,5,1,,,
2,A,2,5,TROR,E,3,5,0,0,27/08/2020,
2,A,2,7,TROR,C,2,7,1,,,Swap
2,A,2,8,PEAI,T,1,3,1,,,
2,A,3,1,PLDE,C,1,4,0,1,4/09/2020,
2,A,3,2,LARO,E,1,4,0,,,
2,A,3,3,TRCY,E,2,4,1,,,
2,A,3,4,PEAI,C,3,8,1,,,
2,A,3,5,TRCY,T,2,14,1,,,
2,A,3,6,LARO,C,3,7,0,1,Checklist,
2,A,3,7,LARO,E,2,8,1,,,
2,A,3,8,PEAI,E,3,4,1,,,
2,A,3,9,TROR,C,3,3,1,,,
2,A,4,1,PLDE,E,3,9,1,,,Swap
2,A,4,3,ARCA,E,1,7,0,0,Checklist,
2,A,4,4,TROR,C,1,1,0,,,
2,A,4,6,TRCY,E,3,9,1,,,Swap
2,A,4,7,PEAI,E,1,2,0,,,
2,A,4,8,ARCA,C,3,2,0,1,27/08/2020,
2,A,4,9,HYGL,C,2,3,1,,,
2,A,5,1,HYGL,E,2,3,1,,,
2,A,5,2,ARCA,E,2,4,1,,,
2,A,5,8,PEAI,C,2,7,0,,,
2,A,6,1,LARO,C,1,7,0,,,
2,A,6,8,LARO,E,3,1,1,,,
2,A,6,9,VERO,E,2,10,1,,,
2,A,7,1,TRCY,E,1,2,1,,,
2,A,7,2,ARCA,E,3,4,0,0,Checklist,
2,A,7,8,PLDE,E,1,10,1,,,
2,A,7,9,VERO,C,2,7,1,,,
2,A,8,2,VERO,E,1,10,1,,,
2,A,8,3,ARCA,T,1,1,1,,,
2,A,8,4,PLDE,C,2,1,1,,,
2,A,8,6,PLDE,E,2,6,0,0,Checklist,
2,A,8,7,VERO,C,1,9,0,1,Checklist,Swap
2,A,8,9,TRCY,C,1,2,0,1,Checklist,
2,A,9,1,VERO,T,1,7,0,1,1/08/2020,Swap
2,A,9,4,ARCA,T,2,2,0,0,4/09/2020,
2,A,9,6,LARO,C,2,7,0,1,27/08/2020,
2,A,9,7,TRCY,C,3,9,0,1,Checklist,
2,A,9,8,TRCY,C,2,10,1,,,
2,A,10,2,VERO,T,2,9,0,1,1/08/2020,"Swap. One new germ after recorded death, plot never thinned. Next germ died as well with no seeds, from checklist. See duplication below"
2,A,10,2,VERO,T,2,9,0,1,Checklist,
2,A,10,3,TROR,E,1,2,0,0,27/08/2020,
2,A,10,4,PEAI,C,1,5,1,,,
2,A,10,6,PEAI,E,2,4,0,0,27/08/2020,
2,A,10,7,VERO,C,3,6,0,1,Checklist,
2,A,10,8,HYGL,C,1,2,0,,,
2,A,10,9,POLE,C,3,1,1,,,
2,B,1,2,PEAI,E,2,11,1,,,
2,B,1,3,VERO,E,2,13,1,,,
2,B,1,4,ARCA,C,2,2,0,1,27/08/2020,Swap
2,B,1,5,ARCA,E,1,3,1,,,
2,B,1,6,TRCY,C,1,10,1,,,Swap
2,B,1,7,ARCA,C,1,1,0,1,Checklist,
2,B,1,8,TROR,E,2,1,1,,,
2,B,2,2,TRCY,E,1,4,1,,,
2,B,2,3,LARO,T,1,2,0,0,Checklist,
2,B,2,4,PLDE,E,3,8,1,,,
2,B,2,5,TRCY,C,2,1,0,1,27/08/2020,
2,B,2,6,VERO,E,1,8,1,,,
2,B,2,7,LARO,C,2,6,0,,,
2,B,2,8,TROR,C,1,3,1,,,
2,B,2,9,TRCY,E,3,2,1,,,Swap
2,B,3,1,ARCA,C,3,3,1,,,
2,B,3,2,LARO,C,1,10,1,,,
2,B,3,4,LARO,E,2,8,0,,,"From CS notes, Dead. Flower open. 1 seed collected, looks viable. One flower"
2,B,3,5,PEAI,E,1,8,1,,,
2,B,3,6,ARCA,E,2,2,1,,,
2,B,3,9,PLDE,C,1,10,1,,,
2,B,4,1,HYGL,E,1,3,0,0,13/09/2020,
2,B,4,2,TROR,C,3,1,0,1,1/08/2020,
2,B,4,3,ARCA,T,1,1,0,1,1/08/2020,Late germination
2,B,4,5,LARO,T,2,5,0,0,Checklist,
2,B,4,6,PEAI,C,1,5,1,,,
2,B,4,7,VERO,T,2,8,1,,,
2,B,4,8,POLE,E,2,2,1,,,Swap
2,B,4,9,TROR,E,1,7,1,,,
2,B,5,1,LARO,C,3,9,0,1,4/09/2020,
2,B,5,2,HYGL,C,1,4,1,,,
2,B,5,8,TRCY,C,3,4,1,,,
2,B,5,9,LARO,E,1,4,0,,,
2,B,6,1,TRCY,E,2,6,0,0,27/08/2020,Tore off a leaf trying to remove D (at thinning)
2,B,6,2,VERO,C,3,11,0,1,Checklist,
2,B,6,8,PEAI,C,2,9,0,1,Checklist,
2,B,6,9,PEAI,T,1,9,0,0,Checklist,
2,B,7,1,PLDE,C,3,11,1,,,Swap
2,B,7,8,HYGL,T,2,5,0,0,27/08/2020,Swap
2,B,8,1,PEAI,C,3,6,1,,,
2,B,8,2,VERO,E,3,13,1,,,
2,B,8,3,TROR,C,2,7,0,1,Checklist,
2,B,8,4,POLE,C,2,1,0,1,13/09/2020,
2,B,8,7,VERO,T,1,7,1,,,
2,B,8,8,PLDE,E,2,11,1,,,
2,B,8,9,PLDE,C,2,10,1,,,
2,B,9,1,TROR,E,3,2,1,,,
2,B,9,2,PLDE,E,1,7,1,,,Swap
2,B,9,3,HYGL,C,3,4,0,1,4/09/2020,
2,B,9,6,VERO,C,2,10,0,1,13/09/2020,
2,B,9,7,VERO,C,1,6,1,,,
2,B,9,8,LARO,E,3,5,1,,,
2,B,10,1,HYGL,E,3,5,0,0,4/09/2020,Swap
2,B,10,2,HYGL,E,3,5,0,1,1/08/2020,
2,B,10,3,POLE,C,1,5?,0,1,1/08/2020,
2,B,10,4,HYGL,E,2,1,0,1,1/08/2020,
2,B,10,6,PEAI,T,2,7,0,1,Checklist,Not thinned
2,B,10,8,POLE,E,1,2,0,0,27/08/2020,
2,B,10,9,HYGL,C,2,2,0,1,Checklist,Swap
2,C,1,1,ARCA,E,1,4,1,,,
2,C,1,2,PLDE,E,2,4,1,,,Swap
2,C,1,3,POLE,C,2,1,1,,,
2,C,1,4,ARCA,E,3,2,1,,,
2,C,1,5,TRCY,E,2,8,1,,,Swap
2,C,1,6,PLDE,C,1,2,1,,,
2,C,1,7,VERO,C,1,2,1,,,
2,C,1,8,PLDE,T,1,9,NA,NA,NA,Swap. Dead on 01/08/2020. Looks like stick fell over and it came out with stick.
2,C,1,9,POLE,C,1,2,1,,,
2,C,2,1,VERO,E,1,2,0,0,12/09/2020,
2,C,2,3,HYGL,E,2,1,0,1,1/08/2020,
2,C,2,4,VERO,E,3,1,1,,,
2,C,2,6,VERO,C,3,4,1,,,
2,C,2,7,HYGL,E,1,12,NA,,,Not HYGL. Wrong ID.
2,C,2,8,TRCY,E,1,2,1,,,
2,C,2,9,LARO,T,2,3,0,0,27/08/2020,
2,C,3,1,TROR,T,1,10,0,NA,NA,Came out of the ground very easily with D. Swap
2,C,3,2,LARO,E,1,5,0,0,27/08/2020,
2,C,3,4,LARO,C,3,3,0,1,27/08/2020,
2,C,3,5,PEAI,C,2,6,1,,,
2,C,3,6,VERO,E,2,9,1,,,
2,C,3,7,TROR,E,2,8,1,,,Swap
2,C,3,8,ARCA,C,2,4,1,,,
2,C,3,9,VERO,T,1,7,1,,,
2,C,4,1,LARO,E,2,7,0,0,Checklist,
2,C,4,3,VERO,C,2,10,1,,,"Pod broke off, four seeds"
2,C,4,4,ARCA,C,1,4,0,1,12/09/2020,
2,C,4,5,VERO,T,2,8,1,,,
2,C,4,6,TRCY,C,1,8,1,,,
2,C,4,7,LARO,C,1,5,0,1,27/08/2020,
2,C,4,8,TRCY,C,3,8,1,,,
2,C,4,9,TROR,C,1,6,1,,,
2,C,5,1,TROR,E,1,11,1,,,
2,C,5,2,HYGL,C,1,4,0,1,Checklist,
2,C,5,8,TROR,C,3,4,1,,,
2,C,6,1,TRCY,E,3,8,1,,,Swap
2,C,6,2,HYGL,E,3,4,1,,,Swap
2,C,6,8,POLE,E,3,1,1,,,
2,C,6,9,TROR,C,2,2,0,1,1/08/2020,
2,C,7,1,LARO,E,3,4,0,0,12/09/2020,
2,C,7,2,PLDE,E,3,10,0,0,Checklist,
2,C,7,9,ARCA,E,2,4,1,,,
2,C,8,1,PEAI,E,2,5,1,,,
2,C,8,2,LARO,C,2,9,0,,,"Swap. CS notes - dead focal, flower open and no seeds visible. 12/09/2020"
2,C,8,3,PEAI,E,1,2,0,0,Checklist,
2,C,8,4,PLDE,C,2,13,1,,,Swap
2,C,8,6,ARCA,T,2,1,1,,,
2,C,8,7,TRCY,T,2,1,0,1,1/08/2020,Swap
2,C,8,8,TRCY,C,2,8,1,,,
2,C,8,9,POLE,E,1,1,1,,,
2,C,9,1,POLE,C,4,5,1,,,Accidental POLE plot; renamed
2,C,9,2,ARCA,C,3,4,1,,,
2,C,9,4,TROR,T,2,4,0,0,Checklist,
2,C,9,6,TROR,E,3,4,1,,,
2,C,9,7,PEAI,C,3,6,1,,,
2,C,9,8,PLDE,E,1,5,1,,,
2,C,9,9,PLDE,C,3,9,1,,,
2,C,10,2,PEAI,C,1,5,1,,,Swap
2,C,10,3,POLE,C,3,1,0,,,"Swap. From CS notes, focal dead, one flower, dead. Not sure if any seeds"
2,C,10,4,PEAI,E,3,3,1,,,
2,C,10,6,LARO,T,1,5,0,1,21/07/2020,Swap
2,C,10,7,HYGL,C,2,1,1,,,
3,A,1,3,ARCA,C,1,1,0,1,1/08/2020,
3,A,1,5,VERO,E,2,4,1,,,
3,A,1,6,PLDE,T,1,4,1,,,
3,A,1,7,HYGL,T,2,4,0,1,1/08/2020,
3,A,1,9,PEAI,E,1,2,1,,,
3,A,2,3,TRCY,C,2,1,0,1,1/08/2020,
3,A,2,5,LARO,E,3,5,1,,,
3,A,2,7,PEAI,E,3,5,0,0,Checklist,
3,A,2,9,TRCY,C,1,4,0,1,Checklist,"From checklist notes, dead, no seed. Unless already C?"
3,A,3,5,TRCY,E,1,8,1,,,
3,A,3,6,TROR,C,3,1,0,1,1/08/2020,Late germination
3,A,3,7,PLDE,C,3,9,1,,,Swap
3,A,4,1,VERO,E,3,5,1,,,Swap
3,A,4,2,ARCA,E,1,2,0,0,28/08/2020,
3,A,4,4,TROR,T,1,1,0,1,1/08/2020,
3,A,4,5,TROR,T,2,1,0,1,1/08/2020,
3,A,4,7,PLDE,C,2,3,0,1,Checklist,
3,A,4,8,PEAI,T,2,1,0,1,1/08/2020,
3,A,4,9,ARCA,E,2,9,1,,,
3,A,5,1,TROR,E,2,4,0,0,12/09/2020,
3,A,5,2,VERO,C,1,1,1,,,Swap
3,A,5,8,TRCY,T,2,2,0,1,1/08/2020,
3,A,5,9,TROR,E,3,1,0,0,12/09/2020,
3,A,6,2,ARCA,T,2,1,0,1,1/08/2020,Late germination
3,A,6,9,PLDE,E,1,6,0,0,28/08/2020,
3,A,7,1,VERO,C,3,3,1,,,
3,A,7,2,VERO,C,2,3,1,,,Swap
3,A,8,1,LARO,E,1,2,0,0,28/08/2020,
3,A,8,2,LARO,C,2,4,1,,,Swap
3,A,8,3,TRCY,E,3,4,0,,,
3,A,8,8,LARO,C,3,5,0,1,28/08/2020,
3,A,8,9,TRCY,E,2,3,0,1,1/08/2020,
3,A,9,4,TROR,E,1,1,0,1,19/07/2020,
3,A,9,6,LARO,E,2,1,0,0,Checklist,Swap
3,A,9,7,TROR,C,1,2,0,1,1/08/2020,
3,A,9,8,HYGL,C,2,2,1,,,
3,A,10,1,ARCA,C,3,1,0,1,Checklist,
3,A,10,2,PLDE,E,2,2,0,1,19/07/2020,
3,A,10,3,PLDE,E,3,2,0,0,28/08/2020,
3,A,10,4,VERO,E,1,4,1,,,
3,A,10,7,PLDE,C,1,2,0,1,28/08/2020,
3,A,10,8,ARCA,E,3,4,0,0,Checklist,
3,B,1,1,TROR,E,2,1,0,1,1/08/2020,
3,B,1,2,TRCY,E,1,3,1,,,Swap
3,B,1,3,PEAI,C,3,2,1,,,
3,B,1,4,TROR,E,3,1,0,0,Checklist,
3,B,2,2,VERO,E,2,1,1,,,
3,B,2,5,VERO,C,1,7,1,,,Swap
3,B,2,6,ARCA,E,1,5,0,0,Checklist,Swap
3,B,3,3,PEAI,E,2,2,1,,,
3,B,3,4,PEAI,E,1,2,0,0,28/08/2020,
3,B,3,5,PEAI,E,3,3,1,,,
3,B,3,7,PLDE,C,2,1,0,1,28/08/2020,Swap
3,B,3,8,TRCY,C,2,6,0,,,
3,B,3,9,VERO,E,1,7,1,,,Swap
3,B,4,1,PLDE,T,1,6,0,1,1/08/2020,
3,B,4,2,VERO,C,2,3,1,,,Swap
3,B,4,4,ARCA,C,3,2,0,1,1/08/2020,
3,B,4,5,PEAI,T,2,1,0,1,1/08/2020,
3,B,4,6,LARO,E,1,2,0,0,Checklist,
3,B,4,7,ARCA,E,3,3,0,0,28/08/2020,
3,B,5,1,PLDE,E,1,1,1,,,
3,B,5,8,TROR,C,1,0,NA,NA,NA,Unlikely to be my seed. Dead
3,B,5,9,TROR,E,1,4,0,0,28/08/2020,Swap
3,B,6,8,TRCY,C,1,6,1,,,
3,B,6,9,ARCA,C,1,1,1,,,Swap
3,B,7,8,PEAI,T,1,1,0,0,28/08/2020,
3,B,7,9,PLDE,E,3,4,0,0,28/08/2020,
3,B,8,4,LARO,E,3,4,1,,,
3,B,8,6,VERO,E,3,5,1,,,
3,B,8,7,TRCY,E,3,10,1,,,
3,B,8,8,PLDE,C,3,5,0,1,Checklist,
3,B,8,9,TROR,C,2,1,0,1,1/08/2020,
3,B,9,2,LARO,T,2,2,0,0,28/08/2020,
3,B,9,4,TRCY,T,2,4,0,1,1/08/2020,
3,B,9,7,PEAI,C,1,2,0,1,Checklist,
3,B,9,9,PEAI,C,2,3,1,,,
3,B,10,1,ARCA,C,2,2,0,1,Checklist,
3,B,10,2,PLDE,C,1,1,0,0,12/09/2020,
3,B,10,7,ARCA,E,2,2,1,,,
3,B,10,8,HYGL,E,1,1,1,,,
3,B,10,9,TROR,C,3,1,0,1,28/08/2020,
3,C,1,2,LARO,C,3,2,0,,,Swap
3,C,1,3,VERO,C,1,8,0,1,Checklist,Swap
3,C,1,4,VERO,E,1,9,1,,,
3,C,1,7,ARCA,T,1,7,0,1,1/08/2020,
3,C,1,9,HYGL,C,3,1,0,1,Checklist,
3,C,2,1,TRCY,C,1,2,1,,,
3,C,2,2,PEAI,E,1,5,0,1,1/08/2020,Two extra germs after death recorded
3,C,2,3,TROR,E,1,4,1,,,
3,C,2,4,VERO,T,2,1,1,,,Swap
3,C,2,5,VERO,C,3,4,0,1,28/08/2020,
3,C,2,6,TROR,C,3,3,1,,,
3,C,2,7,PLDE,C,3,2,0,1,28/08/2020,
3,C,3,4,TROR,E,3,3,1,,,
3,C,3,5,TROR,C,2,10,0,1,1/08/2020,
3,C,3,6,LARO,E,1,1,0,1,1/08/2020,
3,C,3,7,ARCA,E,2,1,0,1,1/08/2020,
3,C,3,8,VERO,E,2,5,0,0,28/08/2020,
3,C,4,1,LARO,C,1,1,0,1,Checklist,
3,C,4,4,TROR,T,2,4,1,,,
3,C,4,5,LARO,C,2,1,0,1,12/09/2020,
3,C,4,6,TRCY,E,1,6,1,,,
3,C,4,9,TRCY,C,3,6,1,,,
3,C,5,1,TRCY,E,3,13,1,,,
3,C,5,2,ARCA,C,1,3,0,1,28/08/2020,
3,C,5,9,LARO,E,3,2,1,,,
3,C,6,2,PEAI,C,3,1,1,,,
3,C,6,9,ARCA,C,3,1?,NA,NA,NA,"Never ARCA, see notes"
3,C,7,1,ARCA,C,2,5,0,1,1/08/2020,
3,C,7,9,TRCY,C,2,13,1,,,
3,C,8,1,TRCY,E,2,13,1,,,
3,C,8,2,VERO,C,2,1,0,1,19/07/2020,
3,C,8,3,PEAI,E,3,4,1,,,Swap
3,C,8,6,TROR,E,2,7,0,0,Checklist,Swap
3,C,8,7,POLE,C,1,2,0,1,12/09/2020,Swap
3,C,8,8,ARCA,E,1,1,0,0,28/08/2020,
3,C,9,1,PLDE,E,1,1,0,0,Checklist,"From checklist notes, removed before dead but no leaves or seeds"
3,C,9,2,TRCY,T,1,11,1,,,
3,C,9,4,PEAI,E,2,5,1,,,Swap
3,C,9,6,PEAI,C,1,4,1,,,Swap
3,C,9,7,VERO,E,3,5,1,,,
3,C,9,8,TROR,T,1,6,1,,,
3,C,9,9,PLDE,E,2,1,0,1,1/08/2020,
3,C,10,1,PLDE,C,1,9,0,1,Checklist,
3,C,10,2,TROR,C,1,4,0,1,12/09/2020,Swap
3,C,10,3,ARCA,T,2,2,0,1,1/08/2020,
3,C,10,4,PEAI,C,2,1,1,,,Swap
3,C,10,7,LARO,E,2,1,1,,,
3,C,10,8,TRCY,T,2,14,1,,,
3,C,10,9,ARCA,E,3,2,0,1,1/08/2020,
4,A,1,1,POLE,E,2,2,0,0,Checklist,
4,A,1,2,LARO,E,2,8,0,,,
4,A,1,4,TROR,E,1,6,0,,,
4,A,1,5,VERO,E,1,9,0,,,
4,A,1,6,TRCY,T,2,11,1,,,
4,A,1,7,ARCA,E,2,4,1,,,
4,A,1,8,ARCA,C,2,5,0,1,26/08/2020,
4,A,1,9,TRCY,C,3,2,0,1,26/08/2020,
4,A,2,1,TRCY,E,1,7,0,0,Checklist,
4,A,2,2,VERO,C,2,11,0,1,Checklist,Swap
4,A,2,3,HYGL,E,1,6,0,,,
4,A,2,4,LARO,E,1,5,0,0,26/08/2020,May be dead
4,A,2,6,PEAI,T,2,10,1,,,
4,A,2,7,VERO,T,1,7,1,,,
4,A,2,9,TRCY,E,2,6,1,,,
4,A,3,1,PEAI,C,1,12,1,,,
4,A,3,2,LARO,C,2,8,0,,,
4,A,3,3,TROR,E,3,10,0,,,
4,A,3,4,LARO,E,3,6,1,,,
4,A,3,5,TRCY,C,1,14,0,,,
4,A,3,6,PEAI,E,2,6,1,,,
4,A,3,7,VERO,C,3,8,0,1,Checklist,
4,A,3,9,HYGL,C,3,7,0,1,26/08/2020,
4,A,4,2,PLDE,C,3,8,0,1,Checklist,"From checklist notes, already 0"
4,A,4,3,TRCY,T,1,10,1,,,
4,A,4,4,TROR,T,1,5,1,,,
4,A,4,6,ARCA,C,1,1,0,1,26/08/2020,
4,A,4,7,VERO,C,1,10,0,1,Checklist,
4,A,4,8,LARO,C,1,3,0,1,26/08/2020,
4,A,4,9,HYGL,E,2,4,0,,,
4,A,5,1,ARCA,E,1,9,0,0,Checklist,
4,A,5,8,ARCA,E,3,2,1,,,
